Arrival Time   Voting Duration   Start Time    Departure Time
    495.43        38.47          3556.01           3594.48

    498.06         8.39          3594.48           3602.87

    499.27         3.68          3602.87           3606.54

    500.45         7.64          3606.54           3614.19

    502.59        12.14          3614.19           3626.33

    503.37        13.33          3626.33           3639.65

    503.57         8.49          3639.65           3648.14

    505.62        12.85          3648.14           3660.99

    506.21        18.32          3660.99           3679.31

    507.91        86.00          3679.31           3765.31

    508.48        25.43          3765.31           3790.74

    510.76         5.09          3790.74           3795.83

    512.87         9.31          3795.83           3805.14

    515.54        10.44          3805.14           3815.58

    517.97         3.51          3815.58           3819.09

    521.82        10.16          3819.09           3829.25

    523.44         4.36          3829.25           3833.61

    524.18         8.46          3833.61           3842.08

    526.38         1.72          3842.08           3843.79

    529.69         8.21          3843.79           3852.00

    530.25         0.23          3852.00           3852.24

    530.76         3.81          3852.24           3856.05

    533.16         2.63          3856.05           3858.67

    533.88         8.05          3858.67           3866.72

    535.40        23.88          3866.72           3890.60

    536.52         2.10          3890.60           3892.69

    536.68        12.92          3892.69           3905.61

    538.45         4.66          3905.61           3910.27

    538.56         2.27          3910.27           3912.54

    539.48         0.79          3912.54           3913.34

    540.24         9.61          3913.34           3922.95

    540.38         4.36          3922.95           3927.31

    540.52        10.45          3927.31           3937.76

    541.02         3.32          3937.76           3941.08

    541.50         6.57          3941.08           3947.65

    541.75        15.52          3947.65           3963.17

    541.87        18.19          3963.17           3981.36

    543.69         7.86          3981.36           3989.22

    543.92         5.69          3989.22           3994.91

    544.36         2.47          3994.91           3997.38

    544.78         5.25          3997.38           4002.63

    549.10        24.43          4002.63           4027.06

    549.27         2.10          4027.06           4029.16

    552.78         2.51          4029.16           4031.67

    553.64         0.82          4031.67           4032.49

    554.34        15.37          4032.49           4047.87

    554.67         5.36          4047.87           4053.22

    555.76         6.27          4053.22           4059.50

    556.60        17.65          4059.50           4077.15

    556.69        10.09          4077.15           4087.23

    557.29         4.03          4087.23           4091.26

    557.53        14.49          4091.26           4105.75

    557.89         9.60          4105.75           4115.35

    558.55         8.83          4115.35           4124.18

    561.69        36.33          4124.18           4160.52

    562.94         2.82          4160.52           4163.33

    563.15        12.47          4163.33           4175.80

    563.24         2.37          4175.80           4178.17

    564.66         6.92          4178.17           4185.09

    564.85         5.35          4185.09           4190.44

    565.84         8.35          4190.44           4198.80

    570.39         5.64          4198.80           4204.44

    570.90         3.57          4204.44           4208.01

    572.15        13.11          4208.01           4221.12

    572.42        15.06          4221.12           4236.18

    572.45         3.63          4236.18           4239.82

    576.02         6.24          4239.82           4246.06

    580.71        12.05          4246.06           4258.10

    582.31        13.97          4258.10           4272.07

    583.26         1.40          4272.07           4273.47

    584.01         1.30          4273.47           4274.78

    586.16        10.68          4274.78           4285.45

    586.82         3.22          4285.45           4288.67

    588.15         8.26          4288.67           4296.93

    589.21        22.29          4296.93           4319.23

    589.71        24.61          4319.23           4343.84

    590.37         6.98          4343.84           4350.82

    591.96         0.18          4350.82           4351.00

    592.87         7.65          4351.00           4358.65

    593.80        45.72          4358.65           4404.37

    594.45         0.90          4404.37           4405.27

    595.80         4.23          4405.27           4409.49

